date,activity_id,name,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,calories,elev_gain_m,avg_cadence,aerobic_te,anaerobic_te,training_load,vo2max
2026-05-30,18000000192,Long Run,running,25.95,158.8,6.12,158,176,1765,332.0,168,4.0,0.0,216,52.0
2026-05-29,18000000191,Strength,strength_training,,40.3,,113,158,242,,,1.8,1.0,49,
2026-05-28,18000000190,Easy Run,running,6.78,38.4,5.67,140,152,461,88.0,168,3.8,0.0,64,51.9
2026-05-26,18000000189,Intervals,running,9.23,41.1,4.45,170,181,628,77.0,176,3.6,0.5,63,51.9
2026-05-23,18000000188,Long Run,running,23.69,136.0,5.74,151,164,1611,241.0,171,2.6,0.0,240,51.9
2026-05-22,18000000187,Strength,strength_training,,59.5,,110,160,357,,,1.7,0.5,72,
2026-05-21,18000000186,Easy Run,running,7.36,41.7,5.66,137,155,500,79.0,174,2.9,0.0,61,51.9
2026-05-19,18000000185,Intervals,running,10.5,44.4,4.23,174,191,714,127.0,174,2.9,0.5,87,51.8
2026-05-18,18000000184,Strength,strength_training,,57.5,,116,149,345,,,1.7,0.9,65,
2026-05-17,18000000183,Easy Run,running,9.15,51.5,5.63,140,155,622,85.0,174,3.2,0.0,74,51.8
2026-05-15,18000000182,Strength,strength_training,,45.6,,118,156,274,,,1.8,0.8,45,
2026-05-14,18000000181,Easy Run,running,6.19,34.7,5.61,146,162,421,81.0,178,2.9,0.0,48,51.8
2026-05-12,18000000180,Intervals,running,11.67,52.6,4.51,171,188,794,83.0,173,2.8,1.2,83,51.8
2026-05-09,18000000179,Long Run,running,24.51,141.4,5.77,157,174,1667,269.0,171,3.5,0.0,228,51.7
2026-05-07,18000000178,Easy Run,running,6.51,37.3,5.73,148,162,443,37.0,175,2.8,0.0,51,51.7
2026-05-05,18000000177,Intervals,running,9.69,43.0,4.44,176,187,659,60.0,177,3.4,1.9,59,51.7
2026-05-04,18000000176,Strength,strength_training,,64.1,,106,142,385,,,2.3,1.6,61,
2026-05-03,18000000175,Easy Run,running,9.86,56.5,5.73,136,146,670,81.0,173,2.6,0.0,107,51.7
2026-05-02,18000000174,Long Run,running,23.9,141.2,5.91,155,169,1625,197.0,179,4.0,0.0,249,51.6
2026-04-30,18000000173,Easy Run,running,6.87,39.9,5.81,142,159,467,46.0,176,2.7,0.0,52,51.6
2026-04-28,18000000172,Intervals,running,9.89,45.3,4.58,174,191,673,107.0,179,4.0,1.2,84,51.6
2026-04-27,18000000171,Strength,strength_training,,47.7,,107,140,286,,,2.3,0.6,39,
2026-04-25,18000000170,Long Run,running,23.44,137.1,5.85,150,167,1594,159.0,177,3.7,0.0,234,51.6
2026-04-24,18000000169,Strength,strength_training,,50.9,,114,151,305,,,1.9,1.4,63,
2026-04-23,18000000168,Easy Run,running,6.39,36.0,5.63,146,163,435,22.0,174,3.2,0.0,56,51.5
2026-04-21,18000000167,Intervals,running,10.15,46.3,4.56,167,181,690,140.0,177,2.7,1.3,76,51.5
2026-04-20,18000000166,Strength,strength_training,,57.0,,119,157,342,,,1.7,1.6,46,
2026-04-18,18000000165,Long Run,running,23.08,132.9,5.76,153,165,1569,204.0,174,2.9,0.0,249,51.5
2026-04-17,18000000164,Strength,strength_training,,64.6,,110,159,388,,,2.4,1.5,62,
2026-04-16,18000000163,Easy Run,running,9.63,54.7,5.68,145,155,655,33.0,173,3.8,0.0,109,51.5
2026-04-14,18000000162,Intervals,running,10.75,50.4,4.69,165,175,731,48.0,177,3.4,1.1,94,51.4
2026-04-13,18000000161,Strength,strength_training,,59.4,,108,159,356,,,1.4,0.7,64,
2026-04-11,18000000160,Long Run,running,23.6,136.9,5.8,150,158,1605,230.0,176,2.7,0.0,237,51.4
2026-04-10,18000000159,Strength,strength_training,,63.8,,124,150,383,,,2.3,1.1,82,
2026-04-09,18000000158,Easy Run,running,6.18,36.0,5.82,149,157,420,76.0,172,4.0,0.0,50,51.4
2026-04-07,18000000157,Intervals,running,9.63,44.6,4.63,164,178,655,30.0,173,3.5,1.0,85,51.4
2026-04-06,18000000156,Strength,strength_training,,42.5,,110,144,255,,,1.9,1.3,39,
2026-04-05,18000000155,Easy Run,running,7.36,43.1,5.85,136,154,500,55.0,179,4.1,0.0,75,51.3
2026-04-04,18000000154,Long Run,running,22.45,134.3,5.98,149,158,1527,151.0,174,3.4,0.0,206,51.3
2026-04-03,18000000153,Strength,strength_training,,44.3,,121,150,266,,,1.7,1.5,51,
2026-04-02,18000000152,Easy Run,running,8.26,47.7,5.77,144,162,562,73.0,174,4.0,0.0,84,51.3
2026-03-31,18000000151,Intervals,running,10.15,44.7,4.4,169,187,690,124.0,177,3.5,1.3,72,51.3
2026-03-30,18000000150,Strength,strength_training,,52.8,,120,147,317,,,2.4,0.9,44,
2026-03-28,18000000149,Long Run,running,23.31,138.9,5.96,153,170,1585,263.0,173,2.9,0.0,244,51.2
2026-03-27,18000000148,Strength,strength_training,,56.5,,112,143,339,,,2.3,0.8,53,
2026-03-26,18000000147,Easy Run,running,7.01,40.0,5.71,149,158,477,36.0,172,3.5,0.0,73,51.2
2026-03-24,18000000146,Intervals,running,10.1,44.3,4.39,163,176,687,78.0,175,3.5,1.0,59,51.2
2026-03-21,18000000145,Long Run,running,20.84,124.6,5.98,158,168,1417,146.0,176,3.2,0.0,168,51.2
2026-03-20,18000000144,Strength,strength_training,,44.6,,105,153,268,,,2.0,1.5,37,
2026-03-19,18000000143,Easy Run,running,8.9,51.0,5.73,145,161,605,61.0,178,3.4,0.0,68,51.1
2026-03-17,18000000142,Intervals,running,9.32,42.1,4.52,168,183,634,49.0,173,3.5,2.1,78,51.1
2026-03-15,18000000141,Easy Run,running,9.94,58.7,5.91,137,148,676,77.0,173,3.4,0.0,95,51.1
2026-03-14,18000000140,Long Run,running,22.08,130.3,5.9,148,166,1501,264.0,168,3.5,0.0,225,51.1
2026-03-13,18000000139,Strength,strength_training,,45.6,,120,143,274,,,1.6,1.3,48,
2026-03-12,18000000138,Easy Run,running,7.85,44.5,5.67,144,153,534,102.0,173,2.9,0.0,63,51.0
2026-03-10,18000000137,Intervals,running,9.98,44.9,4.5,173,182,679,95.0,168,3.5,1.4,67,51.0
2026-03-08,18000000136,Easy Run,running,6.54,37.0,5.65,150,165,445,88.0,177,4.1,0.0,54,51.0
2026-03-07,18000000135,Long Run,running,22.48,130.6,5.81,152,168,1529,251.0,170,3.9,0.0,202,50.9
2026-03-06,18000000134,Strength,strength_training,,55.1,,110,141,331,,,2.0,0.9,54,
2026-03-05,18000000133,Easy Run,running,7.0,40.2,5.75,144,157,476,78.0,174,3.9,0.0,57,50.9
2026-03-03,18000000132,Intervals,running,8.43,39.7,4.71,169,187,573,54.0,178,3.1,1.5,58,50.9
2026-03-02,18000000131,Strength,strength_training,,51.9,,110,140,311,,,1.5,0.6,56,
2026-02-28,18000000130,Long Run,running,20.1,117.0,5.82,155,170,1367,182.0,168,2.8,0.0,185,50.8
2026-02-26,18000000129,Easy Run,running,9.29,53.7,5.78,142,153,632,80.0,177,3.8,0.0,88,50.8
2026-02-25,18000000128,Club Game,ice_hockey,,58.2,,137,183,466,,,2.6,3.3,122,
2026-02-24,18000000127,Intervals,running,10.93,51.7,4.73,174,191,743,99.0,176,3.4,1.7,72,50.7
2026-02-23,18000000126,Strength,strength_training,,44.4,,119,152,266,,,1.5,0.6,40,
2026-02-22,18000000125,Easy Run,running,7.29,42.6,5.85,142,155,496,80.0,179,3.9,0.0,78,50.7
2026-02-21,18000000124,Long Run,running,20.33,122.6,6.03,157,169,1382,201.0,169,3.4,0.0,191,50.7
2026-02-20,18000000123,Strength,strength_training,,44.5,,122,157,267,,,2.3,0.7,54,
2026-02-19,18000000122,Easy Run,running,7.76,44.9,5.78,137,145,528,96.0,168,3.6,0.0,72,50.6
2026-02-18,18000000121,Club Game,ice_hockey,,61.5,,131,175,492,,,2.8,2.2,119,
2026-02-17,18000000120,Intervals,running,11.04,48.1,4.36,165,183,751,53.0,176,3.5,1.0,82,50.6
2026-02-14,18000000119,Long Run,running,20.59,124.8,6.06,151,162,1400,202.0,168,2.9,0.0,206,50.5
2026-02-13,18000000118,Strength,strength_training,,58.8,,111,157,353,,,2.3,0.7,55,
2026-02-12,18000000117,Easy Run,running,9.34,55.8,5.97,143,154,635,80.0,172,3.1,0.0,108,50.4
2026-02-10,18000000116,Intervals,running,10.39,49.5,4.76,173,187,707,63.0,174,3.8,1.6,66,50.4
2026-02-09,18000000115,Strength,strength_training,,52.6,,108,153,316,,,1.8,0.5,57,
2026-02-08,18000000114,Easy Run,running,9.3,55.5,5.97,137,149,632,124.0,177,3.1,0.0,106,50.3
2026-02-07,18000000113,Long Run,running,21.15,124.6,5.89,157,172,1438,77.0,180,4.0,0.0,248,50.3
2026-02-06,18000000112,Strength,strength_training,,55.8,,114,156,335,,,1.8,0.6,68,
2026-02-05,18000000111,Easy Run,running,9.03,53.3,5.9,141,154,614,80.0,178,3.1,0.0,94,50.2
2026-02-04,18000000110,Club Game,ice_hockey,,58.0,,139,187,464,,,3.3,2.6,122,
2026-02-03,18000000109,Intervals,running,11.42,50.9,4.46,172,188,777,102.0,175,3.3,0.2,94,50.2
2026-02-02,18000000108,Strength,strength_training,,50.6,,117,160,304,,,1.8,1.1,43,
2026-01-31,18000000107,Long Run,running,20.98,123.8,5.9,153,164,1427,225.0,177,3.4,0.0,211,50.1
2026-01-30,18000000106,Strength,strength_training,,49.0,,121,152,294,,,1.8,0.6,54,
2026-01-29,18000000105,Easy Run,running,9.88,57.1,5.78,148,166,672,132.0,174,3.7,0.0,77,50.0
2026-01-28,18000000104,Club Game,ice_hockey,,59.4,,130,190,475,,,3.0,2.1,130,
2026-01-27,18000000103,Intervals,running,8.93,41.7,4.67,169,187,607,41.0,170,3.9,0.8,54,50.0
2026-01-26,18000000102,Strength,strength_training,,51.4,,121,148,308,,,1.5,1.3,59,
2026-01-24,18000000101,Long Run,running,19.76,120.1,6.08,158,167,1344,246.0,173,3.8,0.0,221,49.9
2026-01-23,18000000100,Strength,strength_training,,46.1,,118,159,277,,,2.1,1.0,46,
2026-01-22,18000000099,Easy Run,running,6.96,40.0,5.75,144,156,473,87.0,172,3.5,0.0,75,49.8
2026-01-21,18000000098,Club Game,ice_hockey,,58.7,,138,179,470,,,2.5,2.5,116,
2026-01-20,18000000097,Intervals,running,8.22,38.0,4.62,165,175,559,108.0,176,3.0,1.7,61,49.7
2026-01-19,18000000096,Strength,strength_training,,40.3,,121,143,242,,,2.2,1.6,44,
2026-01-17,18000000095,Long Run,running,18.83,112.4,5.97,156,166,1280,226.0,175,3.3,0.0,206,49.6
2026-01-16,18000000094,Strength,strength_training,,59.4,,111,142,356,,,2.0,1.0,62,
2026-01-15,18000000093,Easy Run,running,8.57,50.2,5.86,147,156,583,61.0,176,2.9,0.0,69,49.6
2026-01-14,18000000092,Club Game,ice_hockey,,73.6,,133,180,589,,,2.4,2.4,132,
2026-01-12,18000000091,Strength,strength_training,,62.9,,117,156,377,,,2.3,0.7,52,
2026-01-10,18000000090,Long Run,running,19.84,120.4,6.07,148,162,1349,92.0,177,3.3,0.0,166,49.4
2026-01-09,18000000089,Strength,strength_training,,54.4,,117,152,326,,,2.2,1.4,63,
2026-01-08,18000000088,Easy Run,running,6.25,36.6,5.86,138,146,425,62.0,177,3.6,0.0,62,49.4
2026-01-07,18000000087,Club Game,ice_hockey,,55.6,,142,188,445,,,2.9,2.6,103,
2026-01-06,18000000086,Intervals,running,11.44,52.3,4.57,172,190,778,160.0,176,3.8,1.3,100,49.3
2026-01-05,18000000085,Strength,strength_training,,60.3,,110,154,362,,,1.7,1.2,78,
2026-01-03,18000000084,Long Run,running,19.73,120.6,6.11,148,157,1342,129.0,178,3.7,0.0,196,49.2
2026-01-02,18000000083,Strength,strength_training,,62.1,,115,159,373,,,2.4,0.4,73,
2026-01-01,18000000082,Easy Run,running,9.65,57.9,6.0,148,166,656,62.0,169,3.1,0.0,110,49.2
2025-12-29,18000000081,Strength,strength_training,,50.2,,125,142,301,,,1.6,0.7,50,
2025-12-28,18000000080,Easy Run,running,6.88,40.8,5.93,138,154,468,66.0,177,3.5,0.0,63,49.1
2025-12-27,18000000079,Long Run,running,19.56,118.5,6.06,149,164,1330,106.0,172,3.5,0.0,174,49.1
2025-12-26,18000000078,Strength,strength_training,,45.1,,120,150,271,,,2.3,1.1,47,
2025-12-25,18000000077,Easy Run,running,8.11,48.2,5.94,142,154,551,56.0,169,3.6,0.0,84,49.1
2025-12-24,18000000076,Club Game,ice_hockey,,75.0,,133,178,600,,,2.8,2.5,165,
2025-12-23,18000000075,Intervals,running,9.94,45.7,4.6,169,180,676,139.0,174,4.0,0.7,64,49.0
2025-12-22,18000000074,Strength,strength_training,,62.1,,117,156,373,,,2.0,1.2,70,
2025-12-20,18000000073,Long Run,running,17.1,104.0,6.08,156,174,1163,219.0,178,3.1,0.0,206,49.0
2025-12-18,18000000072,Easy Run,running,9.48,57.4,6.05,139,153,645,82.0,173,3.5,0.0,88,49.0
2025-12-16,18000000071,Intervals,running,9.85,46.1,4.68,170,182,670,115.0,179,3.2,1.4,62,49.0
2025-12-15,18000000070,Strength,strength_training,,61.0,,116,140,366,,,1.8,1.0,74,
2025-12-13,18000000069,Long Run,running,19.02,116.0,6.1,150,167,1293,61.0,174,3.4,0.0,189,48.9
2025-12-12,18000000068,Strength,strength_training,,49.1,,116,147,295,,,2.0,1.4,55,
2025-12-11,18000000067,Easy Run,running,8.93,53.1,5.95,139,149,607,41.0,179,2.8,0.0,78,48.9
2025-12-09,18000000066,Intervals,running,11.94,52.3,4.38,163,178,812,41.0,180,3.0,2.0,87,48.9
2025-12-06,18000000065,Long Run,running,18.34,108.8,5.93,156,170,1247,181.0,173,2.8,0.0,167,49.0
2025-12-05,18000000064,Strength,strength_training,,60.8,,118,148,365,,,2.1,0.9,79,
2025-12-04,18000000063,Easy Run,running,7.61,46.0,6.05,141,157,517,28.0,177,2.8,0.0,90,49.0
2025-12-01,18000000062,Strength,strength_training,,54.9,,125,145,329,,,1.8,1.3,71,
2025-11-30,18000000061,Easy Run,running,9.35,55.9,5.98,148,161,636,64.0,169,3.2,0.0,92,49.0
2025-11-29,18000000060,Long Run,running,16.54,98.4,5.95,156,164,1125,167.0,173,2.7,0.0,179,49.0
2025-11-27,18000000059,Easy Run,running,9.46,56.2,5.94,148,163,643,57.0,179,3.0,0.0,87,49.0
2025-11-26,18000000058,Club Game,ice_hockey,,69.6,,137,175,557,,,2.8,2.0,103,
2025-11-25,18000000057,Intervals,running,10.71,50.8,4.74,171,181,728,71.0,170,3.8,1.4,70,49.0
2025-11-24,18000000056,Strength,strength_training,,46.0,,108,149,276,,,2.2,0.7,43,
2025-11-22,18000000055,Long Run,running,18.33,108.9,5.94,156,165,1246,248.0,178,3.7,0.0,167,49.1
2025-11-21,18000000054,Strength,strength_training,,53.3,,107,156,320,,,2.0,1.3,61,
2025-11-20,18000000053,Easy Run,running,6.66,39.3,5.9,142,160,453,35.0,178,4.0,0.0,75,49.1
2025-11-19,18000000052,Club Game,ice_hockey,,74.1,,133,183,593,,,2.3,3.1,153,
2025-11-18,18000000051,Intervals,running,8.02,38.3,4.77,171,181,545,48.0,171,3.4,1.8,67,49.1
2025-11-17,18000000050,Strength,strength_training,,56.2,,123,153,337,,,2.3,1.6,63,
2025-11-15,18000000049,Long Run,running,18.26,110.8,6.07,150,164,1242,216.0,179,2.8,0.0,173,49.1
2025-11-14,18000000048,Strength,strength_training,,44.9,,115,154,269,,,1.8,0.4,45,
2025-11-13,18000000047,Easy Run,running,9.4,55.0,5.85,143,154,639,49.0,176,3.6,0.0,76,49.2
2025-11-12,18000000046,Club Game,ice_hockey,,71.7,,133,178,574,,,3.3,3.1,131,
2025-11-11,18000000045,Intervals,running,11.18,53.7,4.8,165,174,760,138.0,171,2.8,1.5,105,49.2
2025-11-10,18000000044,Strength,strength_training,,59.2,,125,140,355,,,2.3,0.7,75,
2025-11-08,18000000043,Long Run,running,15.39,91.9,5.97,151,167,1047,168.0,173,3.4,0.0,140,49.2
2025-11-07,18000000042,Strength,strength_training,,52.0,,111,146,312,,,1.5,1.3,57,
2025-11-06,18000000041,Easy Run,running,6.89,40.9,5.94,145,159,469,25.0,177,3.2,0.0,72,49.2
2025-11-05,18000000040,Club Game,ice_hockey,,71.4,,128,190,571,,,2.5,3.0,125,
2025-11-04,18000000039,Intervals,running,9.09,43.9,4.83,174,182,618,41.0,168,3.6,0.7,88,49.2
2025-11-03,18000000038,Strength,strength_training,,40.6,,120,149,244,,,2.4,1.6,37,
2025-11-01,18000000037,Long Run,running,17.6,105.4,5.99,150,162,1197,234.0,168,3.4,0.0,158,49.3
2025-10-31,18000000036,Strength,strength_training,,45.6,,109,155,274,,,1.5,0.6,50,
2025-10-30,18000000035,Easy Run,running,8.54,52.1,6.1,141,152,581,46.0,176,4.1,0.0,83,49.3
2025-10-28,18000000034,Intervals,running,10.4,47.1,4.53,175,187,707,116.0,176,3.8,1.4,68,49.3
2025-10-27,18000000033,Strength,strength_training,,49.4,,125,149,296,,,2.3,0.7,41,
2025-10-25,18000000032,Long Run,running,15.79,95.7,6.06,149,159,1074,95.0,176,3.7,0.0,162,49.3
2025-10-23,18000000031,Easy Run,running,9.64,56.6,5.87,141,157,656,56.0,174,3.8,0.0,90,49.3
2025-10-21,18000000030,Intervals,running,9.03,40.6,4.5,165,183,614,99.0,178,3.6,1.9,62,49.3
2025-10-20,18000000029,Strength,strength_training,,49.2,,112,158,295,,,2.2,1.5,58,
2025-10-18,18000000028,Long Run,running,14.92,91.5,6.13,156,174,1015,108.0,172,2.9,0.0,139,49.3
2025-10-17,18000000027,Strength,strength_training,,45.9,,120,154,275,,,2.2,1.4,52,
2025-10-15,18000000026,Club Game,ice_hockey,,66.3,,138,189,530,,,3.2,1.8,107,
2025-10-13,18000000025,Strength,strength_training,,54.5,,112,157,327,,,1.6,1.5,54,
2025-10-10,18000000024,Strength,strength_training,,59.6,,118,141,358,,,1.7,0.8,73,
2025-10-09,18000000023,Easy Run,running,9.38,55.1,5.87,140,151,638,33.0,176,3.1,0.0,80,49.3
2025-10-08,18000000022,Club Game,ice_hockey,,70.2,,136,183,562,,,2.9,2.0,140,
2025-10-06,18000000021,Strength,strength_training,,51.8,,114,147,311,,,1.8,1.3,43,
2025-10-04,18000000020,Long Run,running,15.33,95.5,6.23,155,169,1042,120.0,168,2.9,0.0,190,49.3
2025-10-03,18000000019,Strength,strength_training,,40.3,,121,159,242,,,1.4,1.6,33,
2025-10-02,18000000018,Easy Run,running,7.51,44.1,5.87,140,156,511,95.0,171,3.1,0.0,73,49.3
2025-09-30,18000000017,Intervals,running,10.1,48.7,4.82,172,184,687,130.0,174,2.8,2.0,93,49.2
2025-09-27,18000000016,Long Run,running,15.96,99.8,6.25,148,161,1085,192.0,180,3.9,0.0,196,49.2
2025-09-26,18000000015,Strength,strength_training,,63.7,,114,145,382,,,1.8,0.7,61,
2025-09-25,18000000014,Easy Run,running,9.5,58.2,6.13,140,152,646,99.0,175,3.7,0.0,103,49.2
2025-09-23,18000000013,Intervals,running,11.03,51.6,4.68,170,187,750,104.0,173,3.8,1.4,93,49.2
2025-09-22,18000000012,Strength,strength_training,,60.2,,109,141,361,,,1.9,1.1,70,
2025-09-20,18000000011,Long Run,running,13.92,86.7,6.23,150,162,947,84.0,168,3.5,0.0,151,49.2
2025-09-19,18000000010,Strength,strength_training,,43.6,,115,160,262,,,1.8,1.2,52,
2025-09-18,18000000009,Easy Run,running,9.73,58.7,6.03,141,150,662,109.0,171,3.8,0.0,103,49.2
2025-09-16,18000000008,Intervals,running,8.41,39.9,4.75,167,184,572,29.0,177,3.6,0.8,79,49.1
2025-09-15,18000000007,Strength,strength_training,,40.8,,116,151,245,,,1.6,0.8,35,
2025-09-13,18000000006,Long Run,running,14.96,92.8,6.2,156,170,1017,86.0,180,2.8,0.0,149,49.1
2025-09-11,18000000005,Easy Run,running,7.87,48.3,6.14,145,154,535,109.0,179,3.3,0.0,86,49.1
2025-09-09,18000000004,Intervals,running,9.26,45.0,4.86,163,181,630,78.0,168,3.7,0.7,89,49.1
2025-09-06,18000000003,Long Run,running,12.89,79.8,6.19,150,167,877,170.0,175,3.9,0.0,116,49.0
2025-09-05,18000000002,Strength,strength_training,,62.8,,108,157,377,,,1.6,1.3,60,
2025-09-04,18000000001,Easy Run,running,9.37,55.8,5.95,143,158,637,57.0,168,2.9,0.0,111,49.0
2025-09-02,18000000000,Intervals,running,10.14,50.2,4.95,169,180,690,92.0,177,3.1,2.1,86,49.0
