date,steps,resting_hr,hrv_last_night,hrv_status,stress_avg,body_battery_high,body_battery_low,intensity_min_moderate,intensity_min_vigorous,active_calories,floors_climbed,training_status,vo2max,fitness_age,heat_acclimation_pct
2026-07-17,18909,57,,,22,80,17,5,0,536,21.7,PRODUCTIVE,52.5,22,20
2026-07-16,14644,48,78,BALANCED,24,87,15,28,3,321,14.7,PRODUCTIVE,52.5,22,20
2026-07-15,17702,61,,,23,82,10,19,0,734,10.9,PRODUCTIVE,52.5,22,20
2026-07-14,17537,47,83,BALANCED,26,82,18,21,7,350,6.1,PRODUCTIVE,52.4,22,20
2026-07-13,15425,48,77,BALANCED,22,88,10,18,0,590,23.8,PRODUCTIVE,52.4,22,20
2026-07-12,8783,46,75,BALANCED,44,97,20,26,0,572,7.7,PRODUCTIVE,52.4,22,20
2026-07-11,9642,44,76,BALANCED,34,84,30,21,40,389,3.5,PRODUCTIVE,52.4,22,20
2026-07-10,13898,47,79,BALANCED,25,99,14,15,0,406,23.0,PRODUCTIVE,52.4,22,20
2026-07-09,14040,44,78,BALANCED,22,98,31,8,8,979,8.2,PRODUCTIVE,52.4,22,20
2026-07-08,16485,46,82,BALANCED,46,85,26,15,0,918,13.3,PRODUCTIVE,52.4,22,20
2026-07-07,11658,45,75,BALANCED,32,89,22,28,25,538,5.7,MAINTAINING,52.4,22,20
2026-07-06,6445,48,76,BALANCED,43,100,31,22,0,816,24.7,PRODUCTIVE,52.4,22,20
2026-07-05,15640,47,74,BALANCED,34,94,13,27,0,984,4.2,PRODUCTIVE,52.3,22,20
2026-07-04,10845,44,81,BALANCED,31,98,30,6,30,585,19.1,PRODUCTIVE,52.3,22,20
2026-07-03,12848,46,75,BALANCED,34,95,28,29,0,720,16.8,PRODUCTIVE,52.3,22,20
2026-07-02,12458,45,80,BALANCED,48,90,22,18,19,375,15.7,PRODUCTIVE,52.3,22,20
2026-07-01,6453,45,84,BALANCED,22,98,22,24,0,348,22.9,PRODUCTIVE,52.3,22,20
2026-06-30,17982,46,80,BALANCED,29,99,18,16,27,759,15.3,PRODUCTIVE,52.3,22,20
2026-06-29,6032,44,73,BALANCED,22,87,13,6,0,477,21.5,PRODUCTIVE,52.3,22,20
2026-06-28,12986,47,75,BALANCED,33,78,32,16,13,1058,5.2,PRODUCTIVE,52.3,22,20
2026-06-27,17751,46,73,BALANCED,23,84,27,25,27,896,12.7,PRODUCTIVE,52.3,22,20
2026-06-26,9855,44,88,BALANCED,23,92,31,17,0,364,17.6,MAINTAINING,52.2,22,20
2026-06-25,9947,63,,,31,91,11,23,55,361,8.7,PRODUCTIVE,52.2,22,20
2026-06-24,8670,46,73,BALANCED,22,83,20,30,0,861,11.3,PRODUCTIVE,52.2,22,20
2026-06-23,16773,48,75,BALANCED,41,85,19,27,0,994,8.1,PRODUCTIVE,52.2,22,20
2026-06-22,6716,44,78,BALANCED,24,98,31,14,0,640,21.2,PRODUCTIVE,52.2,22,20
2026-06-21,16462,45,77,BALANCED,48,89,31,25,0,900,10.2,PRODUCTIVE,52.2,22,20
2026-06-20,12007,64,,,41,94,21,21,0,730,21.0,PRODUCTIVE,52.2,22,20
2026-06-19,14206,46,83,BALANCED,22,95,10,28,0,546,12.5,PRODUCTIVE,52.2,22,20
2026-06-18,6464,44,73,BALANCED,29,96,24,0,33,427,19.0,PRODUCTIVE,52.2,22,20
2026-06-17,7965,44,73,BALANCED,38,87,32,6,0,1068,11.6,PRODUCTIVE,52.1,22,20
2026-06-16,12437,45,79,BALANCED,32,92,24,18,33,671,20.3,PRODUCTIVE,52.1,22,20
2026-06-15,8866,57,,,29,84,16,6,0,489,19.5,MAINTAINING,52.1,22,20
2026-06-14,13785,60,,,39,96,10,10,0,900,14.6,PRODUCTIVE,52.1,22,20
2026-06-13,11533,47,77,BALANCED,30,86,28,4,48,1066,14.3,PRODUCTIVE,52.1,22,20
2026-06-12,12840,43,76,BALANCED,26,78,16,29,0,516,5.0,PRODUCTIVE,52.1,22,20
2026-06-11,6540,55,,,44,97,8,19,17,705,21.7,PRODUCTIVE,52.1,22,20
2026-06-10,17189,44,84,BALANCED,42,85,28,6,0,931,5.4,PRODUCTIVE,52.1,22,20
2026-06-09,12005,48,83,BALANCED,45,81,24,9,16,842,24.4,PRODUCTIVE,52.1,22,20
2026-06-08,18051,57,,,29,87,12,18,0,982,16.1,PRODUCTIVE,52.0,22,20
2026-06-07,16301,45,79,BALANCED,30,79,10,17,0,933,7.7,PRODUCTIVE,52.0,22,20
2026-06-06,11824,48,76,BALANCED,24,100,15,4,29,372,20.1,PRODUCTIVE,52.0,22,20
2026-06-05,18133,45,78,BALANCED,30,82,18,17,0,358,2.5,PRODUCTIVE,52.0,22,20
2026-06-04,7386,58,,,22,84,24,7,54,743,3.8,MAINTAINING,52.0,22,20
2026-06-03,10024,44,72,BALANCED,36,93,16,13,0,651,2.3,PRODUCTIVE,52.0,22,20
2026-06-02,9451,44,78,BALANCED,25,96,19,29,0,548,12.2,PRODUCTIVE,52.0,22,20
2026-06-01,14780,65,,,43,97,22,13,0,1002,14.0,PRODUCTIVE,52.0,22,20
2026-05-31,13238,46,75,BALANCED,35,91,20,9,0,976,17.0,PRODUCTIVE,52.0,22,20
2026-05-30,17067,47,85,BALANCED,44,81,9,18,6,876,20.2,PRODUCTIVE,52.0,22,20
2026-05-29,14531,44,76,BALANCED,27,84,14,30,0,1015,16.3,PRODUCTIVE,51.9,22,
2026-05-28,11343,48,77,BALANCED,32,85,29,21,49,383,7.0,PRODUCTIVE,51.9,22,
2026-05-27,13536,46,81,BALANCED,27,94,30,2,0,308,5.9,PRODUCTIVE,51.9,22,
2026-05-26,10485,61,,,48,78,25,27,5,345,17.9,PRODUCTIVE,51.9,22,
2026-05-25,10366,57,,,34,92,27,14,0,713,11.3,PRODUCTIVE,51.9,22,
2026-05-24,11325,47,85,BALANCED,27,82,21,6,0,762,16.0,MAINTAINING,51.9,22,
2026-05-23,17413,45,73,BALANCED,36,78,15,21,24,623,24.6,PRODUCTIVE,51.9,22,
2026-05-22,8232,64,,,46,92,28,14,0,528,13.9,PRODUCTIVE,51.9,22,
2026-05-21,7022,47,77,BALANCED,24,100,18,28,11,374,9.8,PRODUCTIVE,51.9,22,
2026-05-20,6064,63,,,33,91,25,9,0,457,6.8,PRODUCTIVE,51.8,22,
2026-05-19,8628,47,80,BALANCED,31,94,17,25,4,695,16.5,PRODUCTIVE,51.8,22,
2026-05-18,8984,47,75,BALANCED,25,79,8,29,0,929,18.7,PRODUCTIVE,51.8,22,
2026-05-17,11372,45,87,BALANCED,45,80,24,4,1,778,8.4,PRODUCTIVE,51.8,22,
2026-05-16,8333,63,,,45,79,29,14,0,599,20.8,PRODUCTIVE,51.8,22,
2026-05-15,16085,59,,,35,86,16,15,0,621,13.7,PRODUCTIVE,51.8,22,
2026-05-14,17679,48,72,BALANCED,26,80,25,26,30,358,5.4,PRODUCTIVE,51.8,22,
2026-05-13,8465,47,75,BALANCED,39,88,12,8,0,646,20.2,MAINTAINING,51.8,22,
2026-05-12,17239,47,79,BALANCED,36,83,28,27,6,925,21.7,PRODUCTIVE,51.8,22,
2026-05-11,13780,48,78,BALANCED,22,91,13,19,0,1026,2.1,PRODUCTIVE,51.7,22,
2026-05-10,11299,61,,,23,84,9,30,0,985,11.2,PRODUCTIVE,51.7,22,
2026-05-09,13432,46,79,BALANCED,25,93,22,15,50,393,4.2,PRODUCTIVE,51.7,22,
2026-05-08,16271,48,72,BALANCED,33,90,8,10,0,932,9.0,PRODUCTIVE,51.7,22,
2026-05-07,9930,48,76,BALANCED,41,90,13,3,34,965,17.7,PRODUCTIVE,51.7,22,
2026-05-06,12709,45,85,BALANCED,27,95,16,20,0,471,2.3,PRODUCTIVE,51.7,22,
2026-05-05,14830,44,73,BALANCED,27,93,18,2,37,331,17.6,PRODUCTIVE,51.7,22,
2026-05-04,13437,46,74,BALANCED,48,87,8,19,0,560,17.9,PRODUCTIVE,51.7,22,
2026-05-03,7159,60,,,26,82,20,5,11,569,6.9,PRODUCTIVE,51.7,22,
2026-05-02,16447,44,81,BALANCED,35,95,21,11,51,715,16.3,MAINTAINING,51.6,22,
2026-05-01,14037,47,78,BALANCED,24,98,27,15,0,625,18.8,PRODUCTIVE,51.6,22,
2026-04-30,15712,47,84,BALANCED,48,81,12,23,30,1021,22.5,PRODUCTIVE,51.6,22,
2026-04-29,11948,47,71,BALANCED,43,78,13,30,0,986,18.4,PRODUCTIVE,51.6,22,
2026-04-28,15369,44,75,BALANCED,33,84,22,12,40,993,5.7,PRODUCTIVE,51.6,22,
2026-04-27,6998,45,71,BALANCED,46,80,28,18,0,967,3.6,PRODUCTIVE,51.6,22,
2026-04-26,17648,47,75,BALANCED,29,87,17,30,0,968,21.5,PRODUCTIVE,51.6,22,
2026-04-25,18553,47,75,BALANCED,35,99,12,26,4,844,21.4,PRODUCTIVE,51.6,22,
2026-04-24,13949,47,78,BALANCED,27,86,13,10,0,511,7.1,PRODUCTIVE,51.6,22,
2026-04-23,10926,59,,,41,82,24,22,25,628,9.6,PRODUCTIVE,51.5,22,
2026-04-22,15460,49,84,BALANCED,40,93,27,7,0,375,10.9,PRODUCTIVE,51.5,22,
2026-04-21,12435,45,84,BALANCED,42,82,14,28,6,405,5.1,MAINTAINING,51.5,22,
2026-04-20,6846,63,,,33,96,14,4,0,595,18.5,PRODUCTIVE,51.5,22,
2026-04-19,18349,45,72,BALANCED,22,87,30,30,0,317,15.7,PRODUCTIVE,51.5,22,
2026-04-18,8069,48,82,BALANCED,35,80,28,20,27,447,13.6,PRODUCTIVE,51.5,22,
2026-04-17,8656,44,75,BALANCED,36,88,8,20,0,1039,19.1,PRODUCTIVE,51.5,22,
2026-04-16,8647,45,71,BALANCED,36,82,29,10,38,580,17.2,PRODUCTIVE,51.5,22,
2026-04-15,12288,62,,,28,90,29,18,0,926,7.0,PRODUCTIVE,51.5,22,
2026-04-14,16185,48,81,BALANCED,43,91,30,23,23,800,20.0,PRODUCTIVE,51.4,22,
2026-04-13,7389,48,72,BALANCED,34,95,17,28,0,1058,20.3,PRODUCTIVE,51.4,22,
2026-04-12,16183,44,86,BALANCED,32,97,19,16,0,561,17.3,PRODUCTIVE,51.4,22,
2026-04-11,11891,58,,,36,82,10,13,24,691,15.7,PRODUCTIVE,51.4,22,
2026-04-10,11296,47,84,BALANCED,39,79,27,1,0,908,11.4,MAINTAINING,51.4,22,
2026-04-09,6540,63,,,25,93,22,0,31,816,22.9,PRODUCTIVE,51.4,22,
2026-04-08,7721,45,73,BALANCED,45,92,8,10,0,738,18.7,PRODUCTIVE,51.4,22,
2026-04-07,13257,46,78,BALANCED,36,94,31,15,47,1002,23.1,PRODUCTIVE,51.4,22,
2026-04-06,17709,46,82,BALANCED,42,80,25,20,0,905,8.8,PRODUCTIVE,51.4,22,
2026-04-05,13158,46,73,BALANCED,45,94,12,20,7,925,21.8,PRODUCTIVE,51.3,22,
2026-04-04,18492,48,80,BALANCED,27,87,9,10,60,640,24.3,PRODUCTIVE,51.3,22,
2026-04-03,17835,44,86,BALANCED,23,79,14,16,0,303,9.8,PRODUCTIVE,51.3,22,
2026-04-02,6993,46,79,BALANCED,43,80,17,16,25,514,12.5,PRODUCTIVE,51.3,22,
2026-04-01,11540,46,77,BALANCED,22,85,13,12,0,629,6.4,PRODUCTIVE,51.3,22,
2026-03-31,18897,48,78,BALANCED,26,98,26,21,9,699,3.8,PRODUCTIVE,51.3,22,
2026-03-30,16516,65,,,26,100,11,21,0,667,2.7,MAINTAINING,51.3,22,
2026-03-29,16665,45,81,BALANCED,24,95,28,21,0,891,16.7,PRODUCTIVE,51.3,22,
2026-03-28,13779,47,80,BALANCED,38,97,32,21,5,535,11.0,PRODUCTIVE,51.2,22,
2026-03-27,10089,44,84,BALANCED,25,93,22,1,0,797,13.2,PRODUCTIVE,51.2,22,
2026-03-26,6472,44,84,BALANCED,48,83,25,25,39,322,7.3,PRODUCTIVE,51.2,22,
2026-03-25,18205,47,72,BALANCED,27,86,11,4,0,564,10.5,PRODUCTIVE,51.2,22,
2026-03-24,16134,45,83,BALANCED,41,95,27,13,59,911,15.6,PRODUCTIVE,51.2,22,
2026-03-23,17614,44,73,BALANCED,47,92,31,28,0,449,11.8,PRODUCTIVE,51.2,22,
2026-03-22,8260,59,,,40,99,22,16,0,465,23.9,PRODUCTIVE,51.2,22,
2026-03-21,16244,47,81,BALANCED,39,91,26,0,60,304,18.8,PRODUCTIVE,51.2,22,
2026-03-20,10147,49,77,BALANCED,25,83,29,3,0,998,16.8,PRODUCTIVE,51.1,22,
2026-03-19,16057,47,73,BALANCED,33,93,10,2,25,1018,10.9,MAINTAINING,51.1,22,
2026-03-18,18239,48,85,BALANCED,46,95,22,26,0,717,9.4,PRODUCTIVE,51.1,22,
2026-03-17,10836,48,72,BALANCED,36,94,19,6,21,462,12.8,PRODUCTIVE,51.1,22,
2026-03-16,18898,49,85,BALANCED,47,83,17,29,0,956,7.9,PRODUCTIVE,51.1,22,
2026-03-15,9616,48,71,BALANCED,46,80,15,1,38,386,2.4,PRODUCTIVE,51.1,22,
2026-03-14,13272,57,,,39,87,15,4,57,328,20.1,PRODUCTIVE,51.1,22,
2026-03-13,12306,45,74,BALANCED,33,100,20,8,0,767,8.6,PRODUCTIVE,51.0,22,
2026-03-12,14282,47,74,BALANCED,30,79,19,28,12,305,11.2,PRODUCTIVE,51.0,22,
2026-03-11,13222,45,75,BALANCED,46,91,27,5,0,465,10.7,PRODUCTIVE,51.0,22,
2026-03-10,8554,57,,,23,87,14,1,29,763,10.3,PRODUCTIVE,51.0,22,
2026-03-09,14375,45,78,BALANCED,42,85,25,21,0,1046,16.1,PRODUCTIVE,51.0,22,
2026-03-08,7966,65,,,48,78,30,13,24,419,15.5,MAINTAINING,51.0,22,
2026-03-07,16387,60,,,25,99,23,25,37,1023,3.0,PRODUCTIVE,50.9,22,
2026-03-06,13132,45,71,BALANCED,23,79,28,29,0,523,17.0,PRODUCTIVE,50.9,22,
2026-03-05,18321,48,85,BALANCED,25,81,29,1,28,348,24.8,PRODUCTIVE,50.9,22,
2026-03-04,10617,44,75,BALANCED,34,84,28,28,0,1056,4.0,PRODUCTIVE,50.9,22,
2026-03-03,10722,48,75,BALANCED,36,85,18,15,44,934,15.3,PRODUCTIVE,50.9,22,
2026-03-02,15246,47,74,BALANCED,34,81,15,25,0,609,17.4,PRODUCTIVE,50.9,22,
2026-03-01,9995,48,72,BALANCED,25,99,16,13,0,765,11.4,PRODUCTIVE,50.8,22,
2026-02-28,7143,49,84,BALANCED,37,98,13,6,8,678,21.2,PRODUCTIVE,50.8,22,
2026-02-27,6447,45,76,BALANCED,44,93,32,28,0,888,7.6,PRODUCTIVE,50.8,22,
2026-02-26,12838,47,85,BALANCED,42,94,13,16,33,908,24.3,PRODUCTIVE,50.8,22,
2026-02-25,10419,48,83,BALANCED,34,91,26,17,0,821,23.4,MAINTAINING,50.8,22,
2026-02-24,17347,60,,,44,90,25,27,13,426,3.9,PRODUCTIVE,50.7,22,
2026-02-23,12652,46,74,BALANCED,23,83,16,19,0,798,17.3,PRODUCTIVE,50.7,22,
2026-02-22,12847,45,75,BALANCED,22,93,30,18,18,543,8.9,PRODUCTIVE,50.7,22,
2026-02-21,7436,46,74,BALANCED,22,80,22,2,58,835,6.2,PRODUCTIVE,50.7,22,
2026-02-20,6947,47,82,BALANCED,31,87,12,17,0,502,5.7,PRODUCTIVE,50.6,22,
2026-02-19,17315,47,84,BALANCED,24,91,26,8,13,306,20.9,PRODUCTIVE,50.6,22,
2026-02-18,10940,49,82,BALANCED,38,91,29,28,0,572,22.8,PRODUCTIVE,50.6,22,
2026-02-17,17823,47,80,BALANCED,41,91,10,18,36,308,23.9,PRODUCTIVE,50.6,22,
2026-02-16,12984,48,72,BALANCED,23,97,13,9,0,315,8.8,PRODUCTIVE,50.6,22,
2026-02-15,13754,48,80,BALANCED,41,96,13,1,0,1055,2.3,PRODUCTIVE,50.5,22,
2026-02-14,12909,47,83,BALANCED,30,91,27,16,43,635,4.9,MAINTAINING,50.5,22,
2026-02-13,13090,63,,,39,91,18,12,0,601,15.5,PRODUCTIVE,50.5,22,
2026-02-12,11594,62,,,43,85,9,4,18,433,11.6,PRODUCTIVE,50.4,22,
2026-02-11,13848,49,76,BALANCED,37,80,29,15,0,487,10.1,PRODUCTIVE,50.4,22,
2026-02-10,6629,46,79,BALANCED,42,80,26,13,39,837,13.6,PRODUCTIVE,50.4,22,
2026-02-09,11613,44,78,BALANCED,31,81,21,17,0,692,6.9,PRODUCTIVE,50.4,22,
2026-02-08,12553,48,69,BALANCED,23,97,15,7,60,920,15.6,PRODUCTIVE,50.3,22,
2026-02-07,10463,56,,,29,95,13,23,0,350,6.5,PRODUCTIVE,50.3,22,
2026-02-06,7522,44,73,BALANCED,31,97,20,5,0,324,12.4,PRODUCTIVE,50.3,22,
2026-02-05,12510,48,70,BALANCED,28,78,25,20,11,552,19.4,PRODUCTIVE,50.2,22,
2026-02-04,15746,45,84,BALANCED,41,78,20,14,0,1036,15.8,PRODUCTIVE,50.2,22,
2026-02-03,16249,48,73,BALANCED,39,98,15,6,39,733,17.9,MAINTAINING,50.2,22,
2026-02-02,17387,46,82,BALANCED,37,84,16,30,0,489,17.0,PRODUCTIVE,50.2,22,
2026-02-01,7668,49,70,BALANCED,45,100,28,30,0,661,17.0,PRODUCTIVE,50.1,22,
2026-01-31,6351,45,69,BALANCED,30,99,24,12,27,444,11.7,PRODUCTIVE,50.1,22,
2026-01-30,8437,47,70,BALANCED,38,90,31,29,0,489,21.7,PRODUCTIVE,50.1,22,
2026-01-29,11227,57,,,35,96,22,4,20,427,4.3,PRODUCTIVE,50.0,22,
2026-01-28,6121,62,,,38,97,10,23,0,1073,21.6,PRODUCTIVE,50.0,22,
2026-01-27,10988,44,75,BALANCED,35,93,14,7,28,312,20.0,PRODUCTIVE,50.0,22,
2026-01-26,16278,48,77,BALANCED,38,89,31,1,0,495,7.9,PRODUCTIVE,49.9,22,
2026-01-25,12100,63,,,31,82,24,7,0,1093,12.4,PRODUCTIVE,49.9,22,
2026-01-24,13561,46,76,BALANCED,41,79,11,0,40,338,2.8,PRODUCTIVE,49.9,22,
2026-01-23,8851,59,,,44,87,9,0,0,621,24.3,MAINTAINING,49.8,22,
2026-01-22,7209,49,80,BALANCED,44,95,8,10,57,679,21.9,PRODUCTIVE,49.8,22,
2026-01-21,6367,47,83,BALANCED,41,99,17,24,0,667,18.5,PRODUCTIVE,49.8,22,
2026-01-20,15023,48,72,BALANCED,31,88,14,6,58,746,7.2,PRODUCTIVE,49.7,22,
2026-01-19,14323,58,,,35,83,16,9,0,964,13.3,PRODUCTIVE,49.7,22,
2026-01-18,14847,47,75,BALANCED,42,78,32,23,0,604,7.4,PRODUCTIVE,49.7,22,
2026-01-17,8585,48,76,BALANCED,31,86,8,0,32,956,10.1,PRODUCTIVE,49.6,22,
2026-01-16,18065,46,73,BALANCED,26,84,24,25,0,890,7.0,PRODUCTIVE,49.6,22,
2026-01-15,14275,64,,,25,90,15,8,42,711,2.5,PRODUCTIVE,49.6,22,
2026-01-14,8211,46,75,BALANCED,38,92,14,21,0,502,22.2,PRODUCTIVE,49.5,22,
2026-01-13,14102,48,76,BALANCED,33,80,18,11,0,543,21.6,PRODUCTIVE,49.5,22,
2026-01-12,16910,44,80,BALANCED,31,92,29,8,0,597,6.6,MAINTAINING,49.5,22,
2026-01-11,10247,61,,,29,99,19,4,0,780,8.7,PRODUCTIVE,49.4,22,
2026-01-10,9860,49,78,BALANCED,46,79,10,23,45,353,13.3,PRODUCTIVE,49.4,22,
2026-01-09,7654,48,71,BALANCED,38,99,27,20,0,1027,12.1,PRODUCTIVE,49.4,22,
2026-01-08,16140,46,70,BALANCED,26,79,22,6,14,388,18.9,PRODUCTIVE,49.4,22,
2026-01-07,14649,59,,,26,97,30,18,0,694,7.2,PRODUCTIVE,49.3,22,
2026-01-06,6506,64,,,30,82,31,9,45,774,9.7,PRODUCTIVE,49.3,22,
2026-01-05,17286,48,72,BALANCED,22,84,9,30,0,711,4.0,PRODUCTIVE,49.3,22,
2026-01-04,7714,48,81,BALANCED,24,79,25,27,0,1040,16.6,PRODUCTIVE,49.3,22,
2026-01-03,14909,61,,,44,83,31,15,22,587,19.1,PRODUCTIVE,49.2,22,
2026-01-02,8035,49,80,BALANCED,25,82,8,12,0,455,17.3,PRODUCTIVE,49.2,22,
2026-01-01,7172,49,69,BALANCED,46,90,30,29,13,912,15.7,MAINTAINING,49.2,22,
2025-12-31,14813,45,80,BALANCED,39,88,20,18,0,999,18.9,PRODUCTIVE,49.2,22,
2025-12-30,10027,48,82,BALANCED,39,85,15,8,0,378,9.8,PRODUCTIVE,49.1,22,
2025-12-29,6208,47,74,BALANCED,32,95,23,4,0,940,5.2,PRODUCTIVE,49.1,22,
2025-12-28,11945,46,79,BALANCED,40,81,16,10,50,617,12.9,PRODUCTIVE,49.1,22,
2025-12-27,14720,46,69,BALANCED,45,91,10,8,0,484,12.9,PRODUCTIVE,49.1,22,
2025-12-26,16540,45,70,BALANCED,36,80,23,11,0,588,18.7,PRODUCTIVE,49.1,22,
2025-12-25,11245,47,81,BALANCED,31,84,11,17,24,690,16.4,PRODUCTIVE,49.1,22,
2025-12-24,9865,61,,,43,78,28,0,0,939,3.8,PRODUCTIVE,49.0,22,
2025-12-23,13402,45,74,BALANCED,37,86,21,19,22,361,4.4,PRODUCTIVE,49.0,22,
2025-12-22,11104,58,,,43,93,12,26,0,802,8.4,PRODUCTIVE,49.0,22,
2025-12-21,16913,45,77,BALANCED,43,84,23,27,0,628,24.3,MAINTAINING,49.0,22,
2025-12-20,16765,63,,,31,97,22,16,54,364,10.7,PRODUCTIVE,49.0,22,
2025-12-19,10027,46,79,BALANCED,27,82,13,13,0,368,23.9,PRODUCTIVE,49.0,22,
2025-12-18,7185,47,81,BALANCED,38,95,28,26,19,646,19.6,PRODUCTIVE,49.0,22,
2025-12-17,15270,62,,,45,80,25,9,0,624,11.3,PRODUCTIVE,49.0,22,
2025-12-16,16056,60,,,45,96,9,22,54,370,9.3,PRODUCTIVE,49.0,22,
2025-12-15,13378,45,67,BALANCED,40,83,8,1,0,1071,19.9,PRODUCTIVE,49.0,22,
2025-12-14,6140,63,,,38,94,20,18,0,361,17.9,PRODUCTIVE,49.0,22,
2025-12-13,9641,47,79,BALANCED,27,83,19,28,37,940,20.4,PRODUCTIVE,48.9,22,
2025-12-12,11654,48,75,BALANCED,45,78,12,3,0,467,4.0,PRODUCTIVE,48.9,22,
2025-12-11,11631,59,,,24,90,9,28,5,403,14.5,PRODUCTIVE,48.9,22,
