date,score,level,feedback,sleep_score,hrv_factor,recovery_time_h,acute_load,stress_factor
2026-07-29,73,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,13.8,333,GOOD
2026-07-28,72,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,12.3,388,GOOD
2026-07-27,69,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,12.9,294,GOOD
2026-07-26,63,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,10.2,390,GOOD
2026-07-25,88,HIGH,WELL_RECOVERED,98,BALANCED,25.4,249,GOOD
2026-07-24,71,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,10.5,182,GOOD
2026-07-23,77,HIGH,WELL_RECOVERED,,BALANCED,3.1,344,GOOD
2026-07-22,74,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,1.0,303,GOOD
2026-07-21,57,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,3.0,388,GOOD
2026-07-20,62,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,16.8,413,GOOD
2026-07-19,67,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,16.5,408,GOOD
2026-07-18,76,HIGH,WELL_RECOVERED,98,BALANCED,0.9,374,GOOD
2026-07-17,82,HIGH,WELL_RECOVERED,,BALANCED,2.7,377,GOOD
2026-07-16,70,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,18.0,382,GOOD
2026-07-15,75,HIGH,WELL_RECOVERED,,BALANCED,22.9,371,GOOD
2026-07-14,73,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,22.3,269,GOOD
2026-07-13,78,HIGH,WELL_RECOVERED,82,BALANCED,20.6,201,GOOD
2026-07-12,77,HIGH,WELL_RECOVERED,98,BALANCED,25.8,317,GOOD
2026-07-11,79,HIGH,WELL_RECOVERED,98,BALANCED,17.0,280,GOOD
2026-07-10,73,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,10.3,280,GOOD
2026-07-09,73,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,19.3,217,GOOD
2026-07-08,77,HIGH,WELL_RECOVERED,93,BALANCED,14.5,196,GOOD
2026-07-07,66,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,24.0,394,GOOD
2026-07-06,59,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,5.9,339,GOOD
2026-07-05,66,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,0.9,238,GOOD
2026-07-04,70,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,28.8,361,GOOD
2026-07-03,65,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,13.7,187,GOOD
2026-07-02,63,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,3.9,375,GOOD
2026-07-01,71,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,23.8,291,GOOD
2026-06-30,62,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,10.0,378,GOOD
2026-06-29,69,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,11.5,409,GOOD
2026-06-28,67,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,25.8,214,GOOD
2026-06-27,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,21.6,325,GOOD
2026-06-26,78,HIGH,WELL_RECOVERED,98,BALANCED,28.9,353,GOOD
2026-06-25,76,HIGH,WELL_RECOVERED,,BALANCED,17.8,411,GOOD
2026-06-24,67,MODERATE,GOOD_SLEEP_HISTORY,88,BALANCED,9.0,260,GOOD
2026-06-23,57,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,7.8,356,GOOD
2026-06-22,79,HIGH,WELL_RECOVERED,98,BALANCED,3.0,227,GOOD
2026-06-21,64,MODERATE,GOOD_SLEEP_HISTORY,79,BALANCED,0.8,242,GOOD
2026-06-20,80,HIGH,WELL_RECOVERED,,BALANCED,20.7,368,GOOD
2026-06-19,65,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,1.1,410,GOOD
2026-06-18,55,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,9.6,377,GOOD
2026-06-17,59,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,27.2,354,GOOD
2026-06-16,82,HIGH,WELL_RECOVERED,86,BALANCED,26.5,367,GOOD
2026-06-15,73,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,25.5,185,GOOD
2026-06-14,71,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,7.3,386,GOOD
2026-06-13,72,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,15.9,356,GOOD
2026-06-12,59,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,26.6,292,GOOD
2026-06-11,66,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,5.2,270,GOOD
2026-06-10,73,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,11.8,307,GOOD
2026-06-09,82,HIGH,WELL_RECOVERED,91,BALANCED,15.7,194,GOOD
2026-06-08,69,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,11.2,335,GOOD
2026-06-07,74,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,11.1,395,GOOD
2026-06-06,75,HIGH,WELL_RECOVERED,91,BALANCED,10.7,328,GOOD
2026-06-05,80,HIGH,WELL_RECOVERED,98,BALANCED,13.5,194,GOOD
2026-06-04,62,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,8.1,376,GOOD
2026-06-03,67,MODERATE,GOOD_SLEEP_HISTORY,85,BALANCED,14.9,211,GOOD
2026-06-02,61,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,5.1,187,GOOD
2026-06-01,71,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,14.7,360,GOOD
2026-05-31,65,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,29.6,234,GOOD
2026-05-30,70,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,24.8,342,GOOD
2026-05-29,61,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,29.7,275,GOOD
2026-05-28,80,HIGH,WELL_RECOVERED,98,BALANCED,6.0,332,GOOD
2026-05-27,76,HIGH,WELL_RECOVERED,98,BALANCED,5.8,364,GOOD
2026-05-26,57,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,5.3,220,GOOD
2026-05-25,79,HIGH,WELL_RECOVERED,,BALANCED,19.0,351,GOOD
2026-05-24,65,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,26.2,239,GOOD
2026-05-23,55,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,3.4,191,GOOD
2026-05-22,79,HIGH,WELL_RECOVERED,,BALANCED,16.0,343,GOOD
2026-05-21,59,MODERATE,GOOD_SLEEP_HISTORY,86,BALANCED,26.6,298,GOOD
2026-05-20,59,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,17.9,200,GOOD
2026-05-19,78,HIGH,WELL_RECOVERED,94,BALANCED,6.9,194,GOOD
2026-05-18,79,HIGH,WELL_RECOVERED,96,BALANCED,13.2,415,GOOD
2026-05-17,73,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,9.9,284,GOOD
2026-05-16,74,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,5.5,396,GOOD
2026-05-15,76,HIGH,WELL_RECOVERED,,BALANCED,12.0,251,GOOD
2026-05-14,75,HIGH,WELL_RECOVERED,96,BALANCED,12.6,281,GOOD
2026-05-13,66,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,11.2,243,GOOD
2026-05-12,71,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,6.9,417,GOOD
2026-05-11,64,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,15.1,216,GOOD
2026-05-10,60,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,6.4,266,GOOD
2026-05-09,62,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,5.3,317,GOOD
2026-05-08,69,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,28.5,410,GOOD
2026-05-07,62,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,28.3,224,GOOD
2026-05-06,77,HIGH,WELL_RECOVERED,97,BALANCED,4.6,419,GOOD
2026-05-05,65,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,21.8,339,GOOD
2026-05-04,72,MODERATE,GOOD_SLEEP_HISTORY,86,BALANCED,12.4,195,GOOD
2026-05-03,72,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,17.6,344,GOOD
2026-05-02,63,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,9.6,378,GOOD
2026-05-01,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,29.9,181,GOOD
2026-04-30,75,HIGH,WELL_RECOVERED,95,BALANCED,28.1,290,GOOD
2026-04-29,74,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,27.3,328,GOOD
2026-04-28,78,HIGH,WELL_RECOVERED,95,BALANCED,17.4,284,GOOD
2026-04-27,70,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,26.8,371,GOOD
2026-04-26,70,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,26.2,420,GOOD
2026-04-25,68,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,22.7,296,GOOD
2026-04-24,78,HIGH,WELL_RECOVERED,95,BALANCED,10.9,361,GOOD
2026-04-23,66,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,9.7,271,GOOD
2026-04-22,78,HIGH,WELL_RECOVERED,98,BALANCED,19.9,390,GOOD
2026-04-21,83,HIGH,WELL_RECOVERED,96,BALANCED,17.6,268,GOOD
2026-04-20,77,HIGH,WELL_RECOVERED,,BALANCED,1.7,343,GOOD
2026-04-19,75,HIGH,WELL_RECOVERED,93,BALANCED,22.0,269,GOOD
2026-04-18,72,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,13.3,199,GOOD
2026-04-17,63,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,4.4,339,GOOD
2026-04-16,64,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,0.9,210,GOOD
2026-04-15,66,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,26.1,273,GOOD
2026-04-14,64,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,13.9,302,GOOD
2026-04-13,61,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,13.5,259,GOOD
2026-04-12,84,HIGH,WELL_RECOVERED,93,BALANCED,7.9,420,GOOD
2026-04-11,76,HIGH,WELL_RECOVERED,,BALANCED,1.3,372,GOOD
2026-04-10,85,HIGH,WELL_RECOVERED,96,BALANCED,22.1,325,GOOD
2026-04-09,67,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,23.9,387,GOOD
2026-04-08,71,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,19.1,222,GOOD
2026-04-07,72,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,12.6,202,GOOD
2026-04-06,84,HIGH,WELL_RECOVERED,96,BALANCED,7.8,354,GOOD
2026-04-05,56,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,22.4,407,GOOD
2026-04-04,83,HIGH,WELL_RECOVERED,98,BALANCED,28.6,348,GOOD
2026-04-03,78,HIGH,WELL_RECOVERED,91,BALANCED,16.6,211,GOOD
2026-04-02,62,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,21.9,200,GOOD
2026-04-01,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,10.4,315,GOOD
2026-03-31,81,HIGH,WELL_RECOVERED,79,BALANCED,3.4,320,GOOD
2026-03-30,62,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,15.6,332,GOOD
2026-03-29,60,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,1.3,406,GOOD
2026-03-28,66,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,8.2,245,GOOD
2026-03-27,64,MODERATE,GOOD_SLEEP_HISTORY,82,BALANCED,23.0,342,GOOD
2026-03-26,82,HIGH,WELL_RECOVERED,98,BALANCED,8.1,374,GOOD
2026-03-25,59,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,7.8,407,GOOD
2026-03-24,71,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,12.0,221,GOOD
2026-03-23,78,HIGH,WELL_RECOVERED,98,BALANCED,0.6,280,GOOD
2026-03-22,57,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,0.3,420,GOOD
2026-03-21,71,MODERATE,GOOD_SLEEP_HISTORY,88,BALANCED,15.7,387,GOOD
2026-03-20,72,MODERATE,GOOD_SLEEP_HISTORY,88,BALANCED,9.6,359,GOOD
2026-03-19,68,MODERATE,GOOD_SLEEP_HISTORY,82,BALANCED,16.7,411,GOOD
2026-03-18,73,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,2.1,372,GOOD
2026-03-17,70,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,16.6,336,GOOD
2026-03-16,84,HIGH,WELL_RECOVERED,92,BALANCED,27.1,317,GOOD
2026-03-15,55,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,15.0,413,GOOD
2026-03-14,75,HIGH,WELL_RECOVERED,,BALANCED,16.3,203,GOOD
2026-03-13,60,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,3.7,313,GOOD
2026-03-12,78,HIGH,WELL_RECOVERED,91,BALANCED,8.3,214,GOOD
2026-03-11,58,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,2.6,279,GOOD
2026-03-10,69,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,12.8,311,GOOD
2026-03-09,70,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,11.3,230,GOOD
2026-03-08,67,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,22.8,188,GOOD
2026-03-07,77,HIGH,WELL_RECOVERED,,BALANCED,6.4,256,GOOD
2026-03-06,55,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,6.8,186,GOOD
2026-03-05,65,MODERATE,GOOD_SLEEP_HISTORY,82,BALANCED,6.2,338,GOOD
2026-03-04,77,HIGH,WELL_RECOVERED,94,BALANCED,5.3,212,GOOD
2026-03-03,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,17.7,368,GOOD
2026-03-02,75,HIGH,WELL_RECOVERED,97,BALANCED,9.0,212,GOOD
2026-03-01,67,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,9.5,186,GOOD
2026-02-28,76,HIGH,WELL_RECOVERED,85,BALANCED,17.9,211,GOOD
2026-02-27,57,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,6.9,419,GOOD
2026-02-26,78,HIGH,WELL_RECOVERED,98,BALANCED,23.6,366,GOOD
2026-02-25,84,HIGH,WELL_RECOVERED,89,BALANCED,13.6,321,GOOD
2026-02-24,78,HIGH,WELL_RECOVERED,,BALANCED,20.7,293,GOOD
2026-02-23,62,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,28.6,410,GOOD
2026-02-22,74,MODERATE,GOOD_SLEEP_HISTORY,84,BALANCED,20.2,315,GOOD
2026-02-21,62,MODERATE,GOOD_SLEEP_HISTORY,83,BALANCED,28.8,182,GOOD
2026-02-20,66,MODERATE,GOOD_SLEEP_HISTORY,88,BALANCED,2.4,266,GOOD
2026-02-19,80,HIGH,WELL_RECOVERED,95,BALANCED,22.8,198,GOOD
2026-02-18,85,HIGH,WELL_RECOVERED,93,BALANCED,3.3,375,GOOD
2026-02-17,67,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,16.3,317,GOOD
2026-02-16,62,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,17.7,323,GOOD
2026-02-15,72,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,12.1,416,GOOD
2026-02-14,82,HIGH,WELL_RECOVERED,94,BALANCED,20.9,234,GOOD
2026-02-13,66,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,23.0,315,GOOD
2026-02-12,71,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,2.7,413,GOOD
2026-02-11,77,HIGH,WELL_RECOVERED,98,BALANCED,13.6,184,GOOD
2026-02-10,77,HIGH,WELL_RECOVERED,93,BALANCED,4.5,323,GOOD
2026-02-09,65,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,23.7,342,GOOD
2026-02-08,57,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,27.3,303,GOOD
2026-02-07,65,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,12.2,318,GOOD
2026-02-06,59,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,27.7,259,GOOD
2026-02-05,69,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,6.2,394,GOOD
2026-02-04,76,HIGH,WELL_RECOVERED,92,BALANCED,26.5,243,GOOD
2026-02-03,73,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,0.6,297,GOOD
2026-02-02,74,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,8.1,344,GOOD
2026-02-01,67,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,8.2,361,GOOD
2026-01-31,75,HIGH,WELL_RECOVERED,90,BALANCED,12.2,413,GOOD
2026-01-30,53,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,15.5,397,GOOD
2026-01-29,81,HIGH,WELL_RECOVERED,,BALANCED,4.7,411,GOOD
2026-01-28,64,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,21.5,362,GOOD
2026-01-27,60,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,2.9,180,GOOD
2026-01-26,79,HIGH,WELL_RECOVERED,98,BALANCED,4.3,256,GOOD
2026-01-25,76,HIGH,WELL_RECOVERED,,BALANCED,30.0,242,GOOD
2026-01-24,70,MODERATE,GOOD_SLEEP_HISTORY,97,BALANCED,21.7,190,GOOD
2026-01-23,67,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,11.6,340,GOOD
2026-01-22,75,HIGH,WELL_RECOVERED,96,BALANCED,13.8,223,GOOD
2026-01-21,71,MODERATE,GOOD_SLEEP_HISTORY,84,BALANCED,1.0,373,GOOD
2026-01-20,73,MODERATE,GOOD_SLEEP_HISTORY,86,BALANCED,12.8,238,GOOD
2026-01-19,53,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,29.1,264,GOOD
2026-01-18,71,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,21.2,264,GOOD
2026-01-17,69,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,27.1,181,GOOD
2026-01-16,59,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,12.6,241,GOOD
2026-01-15,78,HIGH,WELL_RECOVERED,,BALANCED,9.3,321,GOOD
2026-01-14,75,HIGH,WELL_RECOVERED,93,BALANCED,14.8,345,GOOD
2026-01-13,68,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,27.3,263,GOOD
2026-01-12,62,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,29.8,233,GOOD
2026-01-11,76,HIGH,WELL_RECOVERED,,BALANCED,0.2,385,GOOD
2026-01-10,81,HIGH,WELL_RECOVERED,96,BALANCED,16.1,395,GOOD
2026-01-09,58,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,15.0,406,GOOD
2026-01-08,53,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,26.6,312,GOOD
2026-01-07,69,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,13.6,368,GOOD
2026-01-06,65,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,15.0,294,GOOD
2026-01-05,69,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,26.1,209,GOOD
2026-01-04,75,HIGH,WELL_RECOVERED,98,BALANCED,10.4,397,GOOD
2026-01-03,71,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,4.0,283,GOOD
2026-01-02,64,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,8.7,416,GOOD
2026-01-01,64,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,27.2,364,GOOD
2025-12-31,66,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,4.1,418,GOOD
2025-12-30,71,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,6.1,352,GOOD
2025-12-29,70,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,17.4,407,GOOD
2025-12-28,70,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,18.8,268,GOOD
2025-12-27,64,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,1.5,259,GOOD
2025-12-26,71,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,19.5,226,GOOD
2025-12-25,84,HIGH,WELL_RECOVERED,98,BALANCED,26.5,248,GOOD
2025-12-24,65,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,9.2,392,GOOD
2025-12-23,58,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,15.4,189,GOOD
2025-12-22,72,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,11.6,404,GOOD
2025-12-21,60,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,4.7,212,GOOD
2025-12-20,57,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,24.5,307,GOOD
2025-12-19,79,HIGH,WELL_RECOVERED,85,BALANCED,3.1,220,GOOD
2025-12-18,65,MODERATE,GOOD_SLEEP_HISTORY,78,BALANCED,23.1,419,GOOD
2025-12-17,62,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,21.9,262,GOOD
2025-12-16,62,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,27.9,317,GOOD
2025-12-15,74,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,10.2,196,GOOD
2025-12-14,65,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,17.6,185,GOOD
2025-12-13,71,MODERATE,GOOD_SLEEP_HISTORY,94,BALANCED,14.3,384,GOOD
2025-12-12,66,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,8.2,417,GOOD
2025-12-11,72,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,6.7,258,GOOD
2025-12-10,62,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,0.9,311,GOOD
2025-12-09,67,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,21.2,228,GOOD
2025-12-08,74,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,16.9,395,GOOD
2025-12-07,79,HIGH,WELL_RECOVERED,,BALANCED,8.0,285,GOOD
2025-12-06,75,HIGH,WELL_RECOVERED,98,BALANCED,26.7,411,GOOD
2025-12-05,64,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,22.6,300,GOOD
2025-12-04,75,HIGH,WELL_RECOVERED,,BALANCED,16.7,398,GOOD
2025-12-03,71,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,14.3,339,GOOD
2025-12-02,75,HIGH,WELL_RECOVERED,97,BALANCED,6.9,332,GOOD
2025-12-01,72,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,17.7,381,GOOD
2025-11-30,59,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,10.8,403,GOOD
2025-11-29,60,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,20.6,261,GOOD
2025-11-28,71,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,7.4,379,GOOD
2025-11-27,61,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,12.5,217,GOOD
2025-11-26,67,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,2.3,306,GOOD
2025-11-25,64,MODERATE,GOOD_SLEEP_HISTORY,91,BALANCED,3.3,415,GOOD
2025-11-24,72,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,24.7,305,GOOD
2025-11-23,59,MODERATE,GOOD_SLEEP_HISTORY,87,BALANCED,2.5,256,GOOD
2025-11-22,84,HIGH,WELL_RECOVERED,98,BALANCED,22.6,184,GOOD
2025-11-21,53,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,0.9,318,GOOD
